Station,Total_influx_2012,Total_influx_2013,Total_influx_2014,Total_influx_2015,Total_influx_2016,Total_influx_2017,Total_influx_2018,Total_influx_2019,Latitude,Longitude
Tepalcates,6307928,5247805,5399036,5953370,6241923,5142008,6314510,3661048,19.39072824,-99.04651165
Tepito,8622465,9453517,8634901,7855334,8151741,7558104,7942264,4510676,19.44256606,-99.12323356
Terminal Aerea,5477872,5536824,5734509,5937008,6117190,6282484,6637343,3802629,19.43380448,-99.08820391
Tezonco,730918,6137160,1234198,432408,6295461,7320523,7883028,4728555,19.306124,-99.065867
Tezozomoc,2901291,2323243,2071986,2046316,2031143,2018009,2111277,1195104,19.49448847,-99.19593215
Tlahuac,1500495,12620535,2646806,908859,14475541,15084248,18625102,11669991,19.28680057,-99.01443243
Tlaltenco,100733,783193,148671,68333,864854,898824,1118914,709992,19.294555,-99.023829
Tlatelolco,9160297,8419675,7815836,8057191,7857136,7408684,7323374,4214092,19.45520174,-99.1430819
UAM I,10858900,8854542,9234074,9113491,8796002,8846453,9406548,5198442,19.350327,-99.07480799999999
Universidad,28760314,26934814,26205477,26367195,27022576,26726286,27199538,14861953,19.32433595,-99.17407751
Valle Gomez,1681310,1621149,1607802,1636122,1657884,1620478,1662292,926427,19.45868169,-99.11988616
Vallejo,2448881,2390019,2499407,2657493,3052441,2818557,2774548,1659671,19.49031142,-99.15479779
Velodromo,3975466,3517196,3215791,3303363,3401904,3271933,3253838,1625678,19.40811392,-99.10283804
Viaducto,9682098,8596630,7903530,7711654,7597169,7591103,7713645,4208439,19.40074699,-99.13663387
Villa de Aragon,5216530,5296168,4979959,5084941,5147843,5025145,5314564,2951006,19.4613523,-99.06114578
Villa de Cortes,7869692,7030335,6974986,6881406,6772031,6477842,6162928,3627384,19.38746949,-99.13862944
Viveros,10018003,9181461,8676216,8517180,8495111,8034608,7829573,4458305,19.35376487,-99.17542934
Xola,10803113,7943060,7539018,7954990,7785715,7698179,8037593,4689290,19.3950293,-99.13758874
Zapata,12192079,15541824,14243584,14438725,14405744,14396276,13955475,10568506,19.370547199999997,-99.16540861
Zapotitlan,556812,4099359,785447,315689,4134438,3947346,4614901,2822496,19.29639028,-99.03402328
Zaragoza,19636440,22357078,19655974,20570498,19093141,18655391,18168605,10048563,19.41179726,-99.08322573
Zocalo,19651029,25244785,26402602,26229616,26678428,25648342,26421132,14917058,19.432602,-99.131879
