Geometry,stop_id,stop_code,stop_station,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,Geopoint
"{u'type': u'Point', u'coordinates': [-99.11285877, 19.40820499]}",14177,,Mixiuhca,Metro 9,19.40820499,-99.11285877,Tacubaya - Pantitlan,METRO,"19.40820499, -99.11285877"
"{u'type': u'Point', u'coordinates': [-98.97670984, 19.35877546]}",14206,,Los Reyes,Metro A,19.35877546,-98.97670984,La Paz - Pantitlan,METRO,"19.35877546, -98.97670984"
"{u'type': u'Point', u'coordinates': [-99.16540861, 19.3705472]}",42432,,Zapata,Metro Linea 12 correspondencia con linea 3.,19.3705472,-99.16540861,Tlahuac - Mixcoac,METRO,"19.3705472, -99.16540861"
"{u'type': u'Point', u'coordinates': [-99.15531278, 19.40749665]}",14058,,Centro Medico,Metro Linea 3 correspondencia con linea 9.,19.40749665,-99.15531278,Indios Verdes - Universidad,METRO,"19.40749665, -99.15531278"
"{u'type': u'Point', u'coordinates': [-99.085872, 19.355601]}",14203,,Cerro de la Estrella,Metro 8,19.355601,-99.085872,Garibaldi - Constitucion de 1917,METRO,"19.355601, -99.085872"
"{u'type': u'Point', u'coordinates': [-99.1117537, 19.46450842]}",14102,,Bondojito,Metro 4,19.46450842,-99.1117537,Martin Carrera - Santa Anita,METRO,"19.46450842, -99.1117537"
"{u'type': u'Point', u'coordinates': [-99.05969739, 19.39821706]}",14071,,Canal de San Juan,Metro A,19.39821706,-99.05969739,La Paz - Pantitlan,METRO,"19.39821706, -99.05969739"
"{u'type': u'Point', u'coordinates': [-99.07505035, 19.41528826]}",14214,,Pantitlan,Metro Linea 5 correspondencia con lineas 1 9 y A.,19.41528826,-99.07505035,Pantitlan - Politecnico,METRO,"19.41528826, -99.07505035"
"{u'type': u'Point', u'coordinates': [-99.10259128, 19.3272315]}",14236,,San Andres Tomatlan,Metro 12,19.3272315,-99.10259128,Tlahuac - Mixcoac,METRO,"19.3272315, -99.10259128"
"{u'type': u'Point', u'coordinates': [-99.135489, 19.408513]}",14145,,Chabacano,Metro Linea 9 correspondencia con linea 2 y linea 8.,19.408513,-99.135489,Tacubaya - Pantitlan,METRO,"19.408513, -99.135489"
"{u'type': u'Point', u'coordinates': [-99.10544515, 19.45112485]}",14184,,Eduardo Molina,Metro 5,19.45112485,-99.10544515,Pantitlan - Politecnico,METRO,"19.45112485, -99.10544515"
"{u'type': u'Point', u'coordinates': [-99.09135818, 19.40811392]}",14069,,Ciudad Deportiva,Metro 9,19.40811392,-99.09135818,Tacubaya - Pantitlan,METRO,"19.40811392, -99.09135818"
"{u'type': u'Point', u'coordinates': [-99.214643, 19.458454]}",14117,,Cuatro Caminos,Metro 2,19.458454,-99.214643,Cuatro Caminos - Tasquena,METRO,"19.458454, -99.214643"
"{u'type': u'Point', u'coordinates': [-99.03579354, 19.38459525]}",14198,,Guelatao,Metro A,19.38459525,-99.03579354,La Paz - Pantitlan,METRO,"19.38459525, -99.03579354"
"{u'type': u'Point', u'coordinates': [-99.10599232, 19.4837675]}",14196,,Martin Carrera,Metro Linea 4 correspondencia con linea 6.,19.4837675,-99.10599232,Martin Carrera - Santa Anita,METRO,"19.4837675, -99.10599232"
"{u'type': u'Point', u'coordinates': [-99.11933, 19.438426]}",14051,,Morelos,Metro Linea B correspondencia con linea 4.,19.438426,-99.11933,Buenavista - Ciudad Azteca,METRO,"19.438426, -99.11933"
"{u'type': u'Point', u'coordinates': [-99.16325212, 19.42359552]}",14097,,Insurgentes,Metro 1,19.42359552,-99.16325212,Observatorio - Pantitlan,METRO,"19.42359552, -99.16325212"
"{u'type': u'Point', u'coordinates': [-99.13434863, 19.4875806]}",14195,,Lindavista,Metro 6,19.4875806,-99.13434863,Martin Carrera - El Rosario,METRO,"19.4875806, -99.13434863"
"{u'type': u'Point', u'coordinates': [-99.054375, 19.472534]}",14210,,Nezahualcoyotl,Metro B,19.472534,-99.054375,Buenavista - Ciudad Azteca,METRO,"19.472534, -99.054375"
"{u'type': u'Point', u'coordinates': [-99.109803, 19.426271]}",14173,,Moctezuma,Metro 1,19.426271,-99.109803,Observatorio - Pantitlan,METRO,"19.426271, -99.109803"
"{u'type': u'Point', u'coordinates': [-99.14155841, 19.43595951]}",14162,,Bellas Artes,Metro Linea 2 correspondencia con linea 8.,19.43595951,-99.14155841,Cuatro Caminos - Tasquena,METRO,"19.43595951, -99.14155841"
"{u'type': u'Point', u'coordinates': [-99.11589503, 19.44866652]}",14181,,Canal del Norte,Metro 4,19.44866652,-99.11589503,Martin Carrera - Santa Anita,METRO,"19.44866652, -99.11589503"
"{u'type': u'Point', u'coordinates': [-99.15289879, 19.44615757]}",14170,,Buenavista,Metro B,19.44615757,-99.15289879,Buenavista - Ciudad Azteca,METRO,"19.44615757, -99.15289879"
"{u'type': u'Point', u'coordinates': [-99.10554171, 19.48231101]}",14197,,Martin Carrera,Metro Linea 6 correspondencia con linea 4.,19.48231101,-99.10554171,Martin Carrera - El Rosario,METRO,"19.48231101, -99.10554171"
"{u'type': u'Point', u'coordinates': [-99.07262564, 19.4146103]}",14215,,Pantitlan,Metro Linea A correspondencia con lineas 1 5 y 9.,19.4146103,-99.07262564,La Paz - Pantitlan,METRO,"19.4146103, -99.07262564"
"{u'type': u'Point', u'coordinates': [-99.14130092, 19.36976784]}",14085,,Portales,Metro 2,19.36976784,-99.14130092,Cuatro Caminos - Tasquena,METRO,"19.36976784, -99.14130092"
"{u'type': u'Point', u'coordinates': [-99.04171586, 19.50096117]}",14221,,Muzquiz,Metro B,19.50096117,-99.04171586,Buenavista - Ciudad Azteca,METRO,"19.50096117, -99.04171586"
"{u'type': u'Point', u'coordinates': [-99.04621124, 19.29939771]}",14230,,Nopalera,Metro 12,19.29939771,-99.04621124,Tlahuac - Mixcoac,METRO,"19.29939771, -99.04621124"
"{u'type': u'Point', u'coordinates': [-99.19138312, 19.41129131]}",14116,,Constituyentes,Metro 7,19.41129131,-99.19138312,Barranca del Muerto - El Rosario,METRO,"19.41129131, -99.19138312"
"{u'type': u'Point', u'coordinates': [-99.087095, 19.423251]}",14213,,Hangares,Metro 5,19.423251,-99.087095,Pantitlan - Politecnico,METRO,"19.423251, -99.087095"
"{u'type': u'Point', u'coordinates': [-99.12120581, 19.40425847]}",14178,,Santa Anita,Metro Linea 4 correspondencia con lineas 8.,19.40425847,-99.12120581,Martin Carrera - Santa Anita,METRO,"19.40425847, -99.12120581"
"{u'type': u'Point', u'coordinates': [-99.19593215, 19.49448847]}",14128,,Tezozomoc,Metro 6,19.49448847,-99.19593215,Martin Carrera - El Rosario,METRO,"19.49448847, -99.19593215"
"{u'type': u'Point', u'coordinates': [-99.12576556, 19.48358544]}",14190,,Deptvo. 18 de Marzo,Metro Linea 6 correspondencia con linea 3.,19.48358544,-99.12576556,Martin Carrera - El Rosario,METRO,"19.48358544, -99.12576556"
"{u'type': u'Point', u'coordinates': [-99.10632491, 19.35264126]}",42427,,Atlalilco,Metro Linea 12 correspondencia con linea 8.,19.35264126,-99.10632491,Tlahuac - Mixcoac,METRO,"19.35264126, -99.10632491"
"{u'type': u'Point', u'coordinates': [-99.10894275, 19.33887391]}",14237,,Culhuacan,Metro 12,19.33887391,-99.10894275,Tlahuac - Mixcoac,METRO,"19.33887391, -99.10894275"
"{u'type': u'Point', u'coordinates': [-99.18823957, 19.40213338]}",14054,,Tacubaya,Metro Linea 1 correspondencia con linea 7 y linea 9.,19.40213338,-99.18823957,Observatorio - Pantitlan,METRO,"19.40213338, -99.18823957"
